                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3499,                 4.0968,                 1.5449,                0.76352,                0.11634,                0.13889,                0.08641,                 1.4281,                  3.351,                 1.6033,             0.00010658,             0.00010658,             0.00010658
                      2,                 1.4083,                 3.1553,                 1.5783,                0.43683,                0.45591,                0.43362,                0.25493,                 1.4809,                 2.4801,                 1.6909,             0.00021212,             0.00021212,             0.00021212
                      3,                 1.4006,                 2.5322,                 1.5603,                0.48808,                0.48916,                0.52013,                0.28896,                 1.5015,                 2.1037,                 1.7231,             0.00031554,             0.00031554,             0.00031554
                      4,                 1.3806,                 2.2069,                   1.54,                0.52347,                0.63236,                0.61292,                0.35246,                 1.5035,                  1.915,                 1.6916,             0.00031341,             0.00031341,             0.00031341
                      5,                 1.3376,                 1.9808,                 1.4977,                0.59419,                0.62009,                0.63263,                0.36624,                 1.4738,                 1.7409,                 1.6458,             0.00031341,             0.00031341,             0.00031341
                      6,                 1.3521,                 1.8907,                  1.489,                0.61733,                0.62259,                  0.666,                0.39189,                  1.469,                  1.676,                 1.6178,             0.00031021,             0.00031021,             0.00031021
                      7,                 1.2975,                 1.7339,                 1.4301,                0.73276,                0.69486,                 0.7235,                0.43796,                 1.4093,                  1.451,                 1.5476,             0.00030701,             0.00030701,             0.00030701
                      8,                 1.3109,                 1.6872,                  1.426,                0.71849,                0.67822,                0.72253,                0.42835,                  1.446,                 1.5034,                 1.5969,             0.00030381,             0.00030381,             0.00030381
                      9,                 1.2845,                 1.5966,                 1.4059,                0.77405,                0.67511,                0.73492,                0.43926,                 1.4491,                 1.4707,                  1.587,             0.00030062,             0.00030062,             0.00030062
                     10,                 1.2547,                 1.5395,                 1.3935,                0.71112,                0.71187,                0.75019,                0.45557,                 1.4091,                 1.3869,                 1.5439,             0.00029742,             0.00029742,             0.00029742
                     11,                 1.2549,                  1.483,                 1.3811,                0.76374,                0.73788,                0.77618,                0.46775,                 1.3867,                 1.2892,                 1.5103,             0.00029422,             0.00029422,             0.00029422
